videoId,title,timestamp,viewCount,likeCount,commentCount,subscriberCount
e6oKquHv7T4,mandrakes em seu habitat natural #roblox #robloxmemes #robloxshorts #memesbr,2026-04-21 02:18:06 AM,110562,4729,113,
33d4WenX0sU,prototype lego tutorial🤖🦾#lego #poppyplaytime #prototype #tutorial #shorts #shortvideo #short #algo,2026-04-21 02:18:06 AM,101208,1418,59,
NdMzOG-AkUw,#Hotwheels bttf 2 pack #backtothefuture #delorean #Toyota #mattel #shorts #short #car #truck #viral,2026-04-21 02:18:06 AM,1860,12,0,
Xw1cplng78I,ELE QUERIA SER MAIS FORTE QUE TODOS!,2026-04-21 02:18:06 AM,2213921,145552,3312,
