videoId,title,timestamp,viewCount,likeCount,commentCount,subscriberCount
_1WtKPpQ8Ow,Sanju a humble man💛#cricket #sanjusamson #csk #ipl2026 #cricketlovers,2026-04-16 07:39:41 AM,103943,10218,97,
9lriTE9Yo_Q,Leg spin bowling action in correct form 💀✅.........#cricket #short,2026-04-16 07:39:41 AM,1913,,2,
fHVlzV96t_U,#yt #milkchocolate #darkchocolate #sweetcravings #foodtrend #viralfood #short #viralshorts #ytshorts,2026-04-16 07:39:41 AM,14690,95,0,
leHc-O3U18c,"Qatar, Saudiக்கு ‘Nuclear’ ஆபத்து - Bushehr Plant அருகே விழுந்த US Missiles; Iranஇல் நடந்த Attack",2026-04-16 07:39:41 AM,6938,97,0,
Mi6FsR-44Kk,'बेहतर होगा ईरान...' बातचीत से पहले Trump की धमकी | Iran US Ceasefire | US Iran War #shorts #viral,2026-04-16 07:39:41 AM,58866,432,8,
pNPAcLe42hU,சாலையின் குறுக்கே தெருநாய் வந்ததால் விபத்து - இளைஞர் பலி...,2026-04-16 07:39:41 AM,14219,86,9,
wesP-Z8kZhM,curiosidades do youtube rs #6,2026-04-16 07:39:41 AM,12270,73,1,
i6Gsxm3wjlw,Barro comestible?! 😯 #viral #food #shorts,2026-04-16 07:39:41 AM,517203,22775,428,
BNpU40NEfWs,Kaam karane ke liye bolti hogi 😂,2026-04-16 07:39:41 AM,26088,776,11,
dVQy9BPIf-o,#song ए जान शादी कर बोगे कम एज में 😋 #short video 💯👍📷,2026-04-16 07:39:41 AM,741,10,1,
mkt5qXA79nQ,Fake Horse In War 🤯!#ayushquest #shorts,2026-04-16 07:39:41 AM,3742,45,1,
BYJDns94McU,Salah sasaran #shorts #viral #comedy,2026-04-16 07:39:41 AM,219358,1646,12,
0shYgGgd_h4,Trump Considers Removing Some US Troops From Europe Amid NATO Strains,2026-04-16 07:39:41 AM,55836,5194,36,
erQOFiQUxnY,"Introducing the ""VitalWear SmartBand,"" a next-generation wearable gadget",2026-04-16 07:39:41 AM,1419378,,49,
tofoGU1LGmk,Premium Quality 🔥 Cotton Outfits ✨ #shorts #short #shortvideo #youtubeshorts #shortsfeed #trending,2026-04-16 07:39:41 AM,2362,34,8,
caJ2NjCa-a0,Roman Reigns attitude status ☠️🤯😡 #short #wwe #romanreings,2026-04-16 07:39:41 AM,29195,549,0,
