videoId,title,timestamp,viewCount,likeCount,commentCount,subscriberCount
_1WtKPpQ8Ow,Sanju a humble man💛#cricket #sanjusamson #csk #ipl2026 #cricketlovers,2026-04-12 04:29:24 PM,101739,9950,94,171000
9lriTE9Yo_Q,Leg spin bowling action in correct form 💀✅.........#cricket #short,2026-04-12 04:29:24 PM,1895,,2,42
fHVlzV96t_U,#yt #milkchocolate #darkchocolate #sweetcravings #foodtrend #viralfood #short #viralshorts #ytshorts,2026-04-12 04:29:24 PM,12305,84,0,240
leHc-O3U18c,"Qatar, Saudiக்கு ‘Nuclear’ ஆபத்து - Bushehr Plant அருகே விழுந்த US Missiles; Iranஇல் நடந்த Attack",2026-04-12 04:29:24 PM,5051,56,0,4850000
Mi6FsR-44Kk,'बेहतर होगा ईरान...' बातचीत से पहले Trump की धमकी | Iran US Ceasefire | US Iran War #shorts #viral,2026-04-12 04:29:24 PM,57989,430,8,25100000
pNPAcLe42hU,சாலையின் குறுக்கே தெருநாய் வந்ததால் விபத்து - இளைஞர் பலி...,2026-04-12 04:29:24 PM,14181,86,9,12600000
wesP-Z8kZhM,curiosidades do youtube rs #6,2026-04-12 04:29:24 PM,11559,69,1,8220
i6Gsxm3wjlw,Barro comestible?! 😯 #viral #food #shorts,2026-04-12 04:29:24 PM,227801,10313,199,1260000
BNpU40NEfWs,Kaam karane ke liye bolti hogi 😂,2026-04-12 04:29:24 PM,23224,699,11,96300
dVQy9BPIf-o,#song ए जान शादी कर बोगे कम एज में 😋 #short video 💯👍📷,2026-04-12 04:29:24 PM,670,9,1,2760
mkt5qXA79nQ,Fake Horse In War 🤯!#ayushquest #shorts,2026-04-12 04:29:24 PM,2870,37,1,236000
BYJDns94McU,Salah sasaran #shorts #viral #comedy,2026-04-12 04:29:24 PM,158659,1138,10,5500000
0shYgGgd_h4,Trump Considers Removing Some US Troops From Europe Amid NATO Strains,2026-04-12 04:29:24 PM,54468,5125,35,344000
erQOFiQUxnY,"Introducing the ""VitalWear SmartBand,"" a next-generation wearable gadget",2026-04-12 04:29:24 PM,265069,,7,214000
tofoGU1LGmk,Premium Quality 🔥 Cotton Outfits ✨ #shorts #short #shortvideo #youtubeshorts #shortsfeed #trending,2026-04-12 04:29:24 PM,2229,31,8,12200
IckRKDC86Og,hasna to padega 😂😁 #funart #lolart #sketchcomedy,2026-04-12 04:29:24 PM,32045,649,5,19500
caJ2NjCa-a0,Roman Reigns attitude status ☠️🤯😡 #short #wwe #romanreings,2026-04-12 04:29:24 PM,26444,506,0,2390
qASjceGTFk8,तनवी के पापा आला काम bi आज to main हे करना पड़ा #dailyminivlog #ytshorts #minivlog #youtubeshorts,2026-04-12 04:29:24 PM,210351,,19,17900
