videoId,title,timestamp,viewCount,likeCount,commentCount,subscriberCount
_1WtKPpQ8Ow,Sanju a humble man💛#cricket #sanjusamson #csk #ipl2026 #cricketlovers,2026-04-11 11:34:17 AM,95694,9542,90,170000
9lriTE9Yo_Q,Leg spin bowling action in correct form 💀✅.........#cricket #short,2026-04-11 11:34:17 AM,1894,,2,42
fHVlzV96t_U,#yt #milkchocolate #darkchocolate #sweetcravings #foodtrend #viralfood #short #viralshorts #ytshorts,2026-04-11 11:34:17 AM,11760,75,0,203
leHc-O3U18c,"Qatar, Saudiக்கு ‘Nuclear’ ஆபத்து - Bushehr Plant அருகே விழுந்த US Missiles; Iranஇல் நடந்த Attack",2026-04-11 11:34:17 AM,3851,29,0,4850000
Mi6FsR-44Kk,'बेहतर होगा ईरान...' बातचीत से पहले Trump की धमकी | Iran US Ceasefire | US Iran War #shorts #viral,2026-04-11 11:34:17 AM,56973,426,8,25100000
pNPAcLe42hU,சாலையின் குறுக்கே தெருநாய் வந்ததால் விபத்து - இளைஞர் பலி...,2026-04-11 11:34:17 AM,14074,85,9,12600000
wesP-Z8kZhM,curiosidades do youtube rs #6,2026-04-11 11:34:17 AM,8712,56,1,8220
i6Gsxm3wjlw,Barro comestible?! 😯 #viral #food #shorts,2026-04-11 11:34:17 AM,101984,6288,109,1250000
BNpU40NEfWs,Kaam karane ke liye bolti hogi 😂,2026-04-11 11:34:17 AM,17266,574,10,95700
dVQy9BPIf-o,#song ए जान शादी कर बोगे कम एज में 😋 #short video 💯👍📷,2026-04-11 11:34:17 AM,657,9,0,2750
mkt5qXA79nQ,Fake Horse In War 🤯!#ayushquest #shorts,2026-04-11 11:34:17 AM,2479,34,1,236000
BYJDns94McU,Salah sasaran #shorts #viral #comedy,2026-04-11 11:34:17 AM,119515,779,8,5500000
0shYgGgd_h4,Trump Considers Removing Some US Troops From Europe Amid NATO Strains,2026-04-11 11:34:17 AM,52307,5021,35,344000
erQOFiQUxnY,"Introducing the ""VitalWear SmartBand,"" a next-generation wearable gadget",2026-04-11 11:34:17 AM,173720,,4,210000
tofoGU1LGmk,Premium Quality 🔥 Cotton Outfits ✨ #shorts #short #shortvideo #youtubeshorts #shortsfeed #trending,2026-04-11 11:34:17 AM,2043,28,7,12100
IckRKDC86Og,hasna to padega 😂😁 #funart #lolart #sketchcomedy,2026-04-11 11:34:17 AM,23476,546,4,18700
caJ2NjCa-a0,Roman Reigns attitude status ☠️🤯😡 #short #wwe #romanreings,2026-04-11 11:34:17 AM,13014,265,0,2320
qASjceGTFk8,तनवी के पापा आला काम bi आज to main हे करना पड़ा #dailyminivlog #ytshorts #minivlog #youtubeshorts,2026-04-11 11:34:17 AM,119581,,14,17700
kcsqVmfBz3o,kha ja rahe ho chhat par #short video 😱🥰🤩🤩😇😮‍💨🙄😁😅😝🍭😚😄😄😅,2026-04-11 11:34:17 AM,9998,46,0,78800
BJX8MsP_6eA,Naya Naya Driver H Haranave Dhai Dhai Dabata 🫣 Samar Singh #short #video #bhojpuri #song #viralshort,2026-04-11 11:34:17 AM,725,20,0,150
GRPjga0iQmQ,उल्टी आंख वाला #shortvideo #shorts #short #viral #video #facts #cattyrobo #funny #youtube,2026-04-11 11:34:17 AM,27865,148,0,104000
eTWySKZ3xn8,Jay shree shayam khatu dham #viral #short #video #youtubeshorts#trendingvideo #shyam#khatuwalashyam,2026-04-11 11:34:17 AM,1813,296,32,20700
3tLRB6MjP-U,#reelschallenge,2026-04-11 11:34:17 AM,80487,,1,977000
9W79dx9fX-g,iPhone unlocked 😱🤯 #magic #shorts #short #youtubeshorts,2026-04-11 11:34:17 AM,1242,14,0,720
