videoId,title,timestamp,viewCount,likeCount,commentCount,subscriberCount
_1WtKPpQ8Ow,Sanju a humble man💛#cricket #sanjusamson #csk #ipl2026 #cricketlovers,2026-04-10 10:31:32 AM,15348,3703,44,170000
wesP-Z8kZhM,curiosidades do youtube rs #6,2026-04-10 10:31:32 AM,4589,31,1,8210
9lriTE9Yo_Q,Leg spin bowling action in correct form 💀✅.........#cricket #short,2026-04-10 10:31:32 AM,1318,,2,42
pNPAcLe42hU,சாலையின் குறுக்கே தெருநாய் வந்ததால் விபத்து - இளைஞர் பலி...,2026-04-10 10:31:32 AM,4315,48,5,12600000
fHVlzV96t_U,#yt #milkchocolate #darkchocolate #sweetcravings #foodtrend #viralfood #short #viralshorts #ytshorts,2026-04-10 10:31:32 AM,3199,27,0,172
Mi6FsR-44Kk,'बेहतर होगा ईरान...' बातचीत से पहले Trump की धमकी | Iran US Ceasefire | US Iran War #shorts #viral,2026-04-10 10:31:32 AM,25910,288,6,25100000
leHc-O3U18c,"Qatar, Saudiக்கு ‘Nuclear’ ஆபத்து - Bushehr Plant அருகே விழுந்த US Missiles; Iranஇல் நடந்த Attack",2026-04-10 10:31:32 AM,1881,13,0,4850000
4EEOGvIPfFM,Come pray with me,2026-04-10 10:31:32 AM,20169,3547,20,610000
i6Gsxm3wjlw,Barro comestible?! 😯 #viral #food #shorts,2026-04-10 10:31:32 AM,5051,577,29,1250000
BNpU40NEfWs,Kaam karane ke liye bolti hogi 😂,2026-04-10 10:31:32 AM,2937,145,3,95400
dVQy9BPIf-o,#song ए जान शादी कर बोगे कम एज में 😋 #short video 💯👍📷,2026-04-10 10:31:32 AM,470,7,0,2750
mkt5qXA79nQ,Fake Horse In War 🤯!#ayushquest #shorts,2026-04-10 10:31:32 AM,1152,21,1,237000
BYJDns94McU,Salah sasaran #shorts #viral #comedy,2026-04-10 10:31:32 AM,57245,411,6,5500000
0shYgGgd_h4,Trump Considers Removing Some US Troops From Europe Amid NATO Strains,2026-04-10 10:31:32 AM,14657,2422,26,344000
erQOFiQUxnY,"Introducing the ""VitalWear SmartBand,"" a next-generation wearable gadget",2026-04-10 10:31:32 AM,11551,,0,207000
tofoGU1LGmk,Premium Quality 🔥 Cotton Outfits ✨ #shorts #short #shortvideo #youtubeshorts #shortsfeed #trending,2026-04-10 10:31:32 AM,793,17,0,12200
