videoId,title,channelId,channelTitle,publishedAt,duration_sec,categoryId,viewCount,likeCount,commentCount,subscriberCount
bGebh1i5HWE,Ye parda🥰 hta do #mohdrafi #ashabhosle #trending #oldisgoldsongs #indianidol #shorts #youtubeshorts,UCdY4PU8HQRMwISiOt-5QVzw,rahul premi gupta official,2026-04-17 04:16:12 PM,31,10,958,8,0,737000
rdNP0TkO5bk,വിഷുക്കണി കൊണ്ട് ഒരു ചക്ക തോരൻ ഉണ്ടാക്കി🍈🌼          #shorts #shortsfeed,UCu2hdT5k514X5Eame0Gte_w,Vidhya🌻,2026-04-17 04:14:49 PM,64,22,1335,,20,177000
_4GfrYiKfyQ,कॉटन कँडी बनवण्याचा सोपा जुगाड 😳 | #जुगाड #jugaad #tricks #shorts,UCuRwg2myOIvmjARRqO0B1dw,Marathi Kannada Couple ,2026-04-17 04:14:30 PM,18,24,1557,2,0,171000
6P-xQ9gqCY4,Shivang Fed Milk to a Monkey 🍼🐒❤️ #shorts #shortsfeed #ytshorts,UCOOhFqaXiX4OkWUiCYbK4ZA,Shivang's Cute Reactions,2026-04-17 04:09:38 PM,14,24,5802,29,0,233000
CWym9OZig4o,우리나라에 간암환자가 많은 진짜 이유ㄷㄷ #Shorts #나는의사다,UCjegsOAf5nOCfLfMpLyNj0A,나는의사다,2026-04-17 04:09:30 PM,38,27,222,3,0,218000
g46W5jSpFrQ,☠️Enemy Be Like 🗣️:- Bade Khatarnaak Log Hai 😂| #shorts #freefire #crushkdff,UCKU5o67wAPsQ5HrkDJFhLPQ,Crush KD FF,2026-04-17 04:10:28 PM,97,20,403,38,17,117000
m_hczCt7dlQ,Mashallah ☝️😇 respect 😍 #allah #status #shorts #respect #short #arltvinfo,UCCL5YeQT54fTls67Kcf1j5A,ARL TV INFO,2026-04-17 04:10:00 PM,42,22,8248,,0,277000
UO0n_DWtbZg,पुतले के अंदर लड़की को दिखती थी एक आत्मा! #shorts,UC3_1caBNAIPtuDgJcvDElaA,Define Movies,2026-04-17 04:05:43 PM,60,27,3050,,0,931000
9I-JcseqHSQ,तारक मेहता शो के लिए बहुत बड़ी खुशखबरी हैं 😍 ? #shorts #tmkoc #youtubeshorts #viral,UCCrbX-YPxJH-rBFzHiys_ng,Keep Smile,2026-04-17 04:05:00 PM,60,22,770,34,0,40100
Wnbnex67g6Q,CRAZY MAN FIRE HIM 🤣||#shorts #viral #memes #trending #funny #fire,UCtDSGgb1QttwjqihqvVkXWA,Zyro,2026-04-17 04:06:12 PM,36,24,386,10,0,256
hpuBCTtQN-I,रिजल्ट आने की खुशी में झूम उठा लड़का! #shorts,UCV-rlW4Vcn6fkTq5QylaE8g,The Gold Fact,2026-04-17 04:02:58 PM,60,27,562,,0,139000
l3IBN3cNUa8,मम्मी को वीडियो दिखाओ #fact #facts# #knowledge #information #education #health #food #shorts,UCT7luTVXMUFurgJzex5kdVw,RAVIFAMILYVLOGS,2026-04-17 04:04:06 PM,29,22,1351,13,0,162000
eoBagAXbw8w,#freefire #shorts #ytshorts #viral || #raistar #gyangaming | OLD TIME |..,UCB8c9Hutid06SNYShtKBj_g,༒𝐀𝐤𝐚𝐬𝐡 𝐆𝐚𝐦𝐢𝐧𝐠༒,2026-04-17 04:03:26 PM,28,20,400,,0,2090
