videoId,title,channelId,channelTitle,publishedAt,duration_sec,categoryId,viewCount,likeCount,commentCount,subscriberCount
cHd5qmipV_c,Billy Butcher asks Ryan to kill Homelander | The Boys S5.E3 #shorts #theboys,UCmjeBolXAKBN-b-eYxfSBdA,GoodzillaTheRealOne,2026-04-17 01:16:55 AM,33,22,3602,97,6,259000
vYRCtU4u05o,MARCELINHO JONSON UM MENTIROSO OU UM CARA DE HISTORIAS? KKKKKKKKK #shorts,UCfvA6oJCnkRhoti2B9j0Y7w,Dersin2k,2026-04-17 01:15:06 AM,60,24,208,11,0,62100
PimqPem6yqA,Creo que ya no voy a robar más🧐 #europe #shorts,UCX4ilGbwC83Dbhz8tvThKMQ,Pugblox,2026-04-17 01:15:28 AM,23,20,1037,,3,4160
mYMv3iNSkY8,Nem queria mesmo  #brookhaven #roblox #memes #humor #shorts,UCerCOwrcqdQDV_5TcLBGzVA,Mãe filha gamer,2026-04-17 01:13:59 AM,13,20,1635,24,3,5360
1DSXHtnFk2M,CARTA DOURADA DE 151!! 😱  #pokemon #shorts,UCj58YQhdaE5YHcKqKfgSL-Q,TesiveGames,2026-04-17 01:15:00 AM,113,24,1579,54,4,2170000
rmIjPJyB6Vk,SHE DID NOT EXPECT THAT 😅💀 #shorts #challenge #couple,UCW0ulUd4BZY4k_vHqLFWTuw,Mariah and Bill,2026-04-17 01:08:54 AM,6,22,2723,98,27,5590000
lzGcyCOVR9c,China Found A Way... #Shorts,UCCOrp7GPgZA8EGrbOcIAsyQ,Phone Repair Guru,2026-04-17 01:08:13 AM,40,28,8758,701,14,5810000
xDcRqQ4raXA,Vini Jr eliminou o Real Madrid #futebol #shorts,UCKyJGyhOBQywX5fFYCgf7Gw,tosta ft,2026-04-17 01:06:04 AM,44,22,448,14,1,1090
fc4fvpSMesQ,Mumbai Indians Halt Kharab 💔 #mivspbks #shorts #ipl #ipl2026 #rcb #viratkohli,UCdIoZJB537RIVq20Un8B2DA,Ab cricinfo fanpage,2026-04-17 01:06:32 AM,19,17,1469,16,0,9660
QTX9ZNgq9pA,LA SKIN EXCLUSIVA DE BITE BY NIGHT (SPIN TAP) #roblox #games #shorts #bitebynight,UC2_vU-k4YrH69SnxiFYThMg,Leroy2,2026-04-17 01:02:53 AM,21,20,2998,126,12,52800
xTIS52VNqV0,MY PET KANGAROO!!!🦘😱 *Texting Random Numbers!* #shorts,UCs89968nQivliGJiYytr0RQ,danfart,2026-04-17 01:00:11 AM,23,24,1884,120,5,2820000
J-IjmFFZ0n4,🥹सूखा था… लेकिन मेहनत रुकी नहीं 💪🍉 #farmerstruggle #shorts #sadstory #ytshorts #yt #viral #trending.,UC0Lp8VaEBx2O2iZAzZtwRTw,Play Kids,2026-04-17 12:58:50 AM,39,22,1388,,0,270
H3CiGPSd4bQ,⚠️ NÃO CHEGUE PERTO se vir isso no seu carro! #curiosidades #shorts,UC7d3DRqQTSznJmEPaoax_zQ,Ceifeiro Obscuro ,2026-04-17 01:00:03 AM,53,24,497,16,14,17800
kiLgyIWsL5I,From Liquid to Luxury ✨ Green Resin Table Transformation #Shorts,UC66CgSy4-JPxUZkj20ni-qQ,GroundUpCreates,2026-04-17 12:56:05 AM,27,22,439,2,0,206
7o-3ay6QaoU,IPL 2026 Points Table Update 🔥😈#pointstable #ipl2026 #punjabkings #rcbfans #shorts,UCLOd2ZFozhUzdnCX3ZCJ8tg,AB_SHORTS,2026-04-17 12:54:32 AM,22,17,598,,0,4860
egrO_o6eXcw,Mario Vs princess game challenge 💀😱 | The Super Mario | #edit #shorts #animation,UCs6PByyhr6Je8A4M4MgiKkw,Ranedits,2026-04-17 12:54:00 AM,48,24,7658,201,3,2150000
n2tyCH1pwKk,FAZENDO PICANHA PELA 1º VEZ #shorts,UCirPXCXZd7Gy9pxMo4Mp4_Q,Marcelinho Barros,2026-04-17 12:55:31 AM,62,24,642,29,0,123000
NTfRIAELvO0,O BANDIDO BOTOU O POLICIA NO SEU DEVIDO LUGAR! 😱 #shorts,UCmJZih1HNo0Se4jX3q5nsOQ,Adlan Atos,2026-04-17 12:51:54 AM,58,24,5382,251,1,297000
EtGvE4tmIoU,A Struggling Baby Trapped Inside A Cracked Egg 😱 #shorts,UC-CcE1C9l-bQxYHJNm3W_IQ,Pawsitive Vibes,2026-04-17 12:53:37 AM,61,22,1280,23,1,486000
winAXPWxbaU,أردوغان: السلام سيتحقق رغم أنف النظام الصهيوني #shorts,UC_RYp5EN_bMjUJaSwrLNiGA,pulse 24 عربي,2026-04-17 12:52:46 AM,6,1,13238,46,4,182000
3tvjm0CiG0s,Rocío Dúrcal - Me Nace del Corazón 🌹 ¡Pura alegría mexicana! #shorts #rancheras,UCLr-mTaxSkaonDpwgos8jdg,"MUSIC 60,70,80",2026-04-17 12:50:22 AM,51,10,1309,30,1,99400
tV4EtkNCdU4,VOCÊ CONSEGUE CHEGAR NO FINAL? #shorts #roblox,UCH27Wi4vlk2inrM8PLz02AQ,Nicole Maffi,2026-04-17 12:49:30 AM,58,24,21213,1435,13,10500000
4jtIETPI7zM,What Was That Slide?! 😳#JavierBaez #MLB #Slide #ElMago #Highlight #Shorts,UCFm7VqAWo4mxPSC2AQ3Hr4A,ClipSlugger,2026-04-17 12:50:07 AM,33,17,652,,0,2580
k6HjX-zBJho,119 MPH… WHAT?! 😳#OneilCruz #MLB #ExitVelo #Power #HardHit  #Shorts,UCFm7VqAWo4mxPSC2AQ3Hr4A,ClipSlugger,2026-04-17 12:50:20 AM,14,17,3632,,2,2580
kW7qAGieqlk,FIM DAS QUARTAS DA CHAMPIONS! #futebol #championsleague #shorts,UCwlEA55JzOIKIezhBta03cA,Sou o RJ,2026-04-17 12:48:14 AM,53,22,564,29,0,620
3QxBzdafu_I,A MELHOR TRANSFORMAÇÃO DE DRAGON BALL REVELADA #shorts #dbz #dbs #goku #vegeta #dragonball,UCMQK014RxffX15ZbFdSCWjA,Rimas 100,2026-04-17 12:48:19 AM,64,20,761,16,1,458000
_koN45Pbnwk,Буланова ответила на слухи #новости #шоубизнес #shorts #россия #история,UCttA8vxVN2SHyEDGy5JZ37A,Motion of Stars,2026-04-17 12:47:23 AM,6,22,1476,14,0,145000
3N_NQTHvL1Q,El silvato más ruidoso del mundo #shorts,UCapRTMkO4n3LP5dkmIayy5A,Jexs,2026-04-17 12:45:22 AM,72,23,110809,11831,706,11900000
SxDqRc2l_D8,The most dangerous insects that exists #shorts #viral,UCC9_T6iw3VXVH0nejQp3wAg,porsilt,2026-04-17 12:44:35 AM,33,24,232,7,0,210
gP4_OJsFykY,Surah Al-Baqarah Ayat 285-286 | Beautiful Quran Recitation | #shorts #ilmkiawaaz,UCYNBGjA0hO1ZXVk1pZ1asHQ,"Ilm Ki Awaaz
",2026-04-17 12:44:31 AM,58,22,458,15,0,441
ZqLoYkv8S8s,iPhone Vs Samsung ‼️ #iphone  #shorts  #samsung,UC-5_KlNZB24vRngk6fxxKSQ,la3zawi family Two,2026-04-17 12:44:58 AM,12,24,63482,1200,32,5630000
QqUIpysnud0,ACHAMOS E TESTAMOS A PIPA DA KETLIN! #shorts,UCSuRhqwJ6CW9kPkfs2UKnAA,Família Vitor e Jean,2026-04-17 12:43:07 AM,40,24,897,,0,380000
F35J0ixcamk,Her Dog Found An Abandoned Baby Chipmunk 😭 #shorts,UCQFcwabjuJPltxLKjZYZ6QA,Viral Paws,2026-04-17 12:42:25 AM,61,28,3380,162,2,203000
wv4id9c-fIY,إيران تحدد معايير جديدة لأمن الملاحة في الخليج #shorts,UC_RYp5EN_bMjUJaSwrLNiGA,pulse 24 عربي,2026-04-17 12:41:59 AM,6,1,17004,76,1,182000
e718bbC9lKQ,PASHA ON NIE WIE Z KIM ZADZIERA #pasha #pashabiceps #cs2 #shorts,UCPAUKiDTtfVJ6mvKhkSSX-w,alphajestem,2026-04-17 12:41:57 AM,26,20,1606,58,5,11000
HELQ3IdQrXU,Ranking Funniest Gas Station Fails #shorts #ranking #tiktok,UCIRYbxCTDuPxR0hBI95s8lg,Kyle Garcia,2026-04-17 12:42:48 AM,47,22,789,,1,254000
Iz8C_y0RfDs,Steve's Small Butt Saved His Life 🤣☠️ #shorts #americandad,UCb4z0eaJRQ4JUkort47RXgA,Stan Realms,2026-04-17 12:40:12 AM,60,23,1150,18,0,1890
92LkwtgeUlg,So smooth moves 😱 #dance #michaeljackson #shorts,UCkwr5RzBgnlJPOduLl4JFUw,Manas moonwalker,2026-04-17 12:38:22 AM,26,24,444,14,0,4250
hD7Kywe2oFI,Playing with Enderman gone wrong 😵‍💫 #minecraft #lyrics #trending #shorts #minecraftshorts,UCQMOfmHI6QFXBBQ0RNx4uHw,KartikeY,2026-04-17 12:38:15 AM,29,20,274,6,0,1390
BvQKoayM0DI,dekh liya aag lagane ka natija 😂😎 #shorts #funny,UCcq7uBY8Ytmza0-2ICN94eA,@SUNNY_GEMER_01,2026-04-17 12:38:43 AM,60,20,1005,17,0,5320
yn_8J6Vs7oI,Why was every takeoff a potential disaster? #shorts #ww2,UCAOdMSUS0GHMkesZBAcdvBQ,WW2 Air Command,2026-04-17 12:35:00 AM,37,24,712,32,1,27100
Qvwvjl2mZKU,Turkey की जमीन के नीचे बनी अनोखी Masjid #quranaurhadees #facts #shorts,UCSbYtXj4GxAG_yFyhTB2MbA,QURAN AUR HADEES ,2026-04-17 12:35:22 AM,44,22,624,29,0,18500
omiUL2cE28Q,I PULLED it off omg 😳 #shorts,UCn3_KXrOSFzgQx6d-AeXsxA,honeybobabear,2026-04-17 12:36:01 AM,52,22,2652,352,13,2190000
O7J7OPyExZE,A PIZZA QUE O BRASILEIRO AMA #foryou #pizza #shorts #pizzalover #pizzaria #viral #pizzatime #food,UCHW-9_miVze_1TLcGW-PFXw,Thaires,2026-04-17 12:33:46 AM,86,24,1531,183,11,27500
J-NthVvWRwE,giribaz kabutar #pigeon #birds #shorts,UCYC-JB2DcbehCXjFg3EbsmA,parindon ki duniya,2026-04-17 12:33:20 AM,18,15,803,13,0,3280
MixhZfciiC4,¡Las Ruedas del Autobús Giran y Giran! 🚌 #JunyTony #shorts,UC-9RjJHpfTbJLm1Ro7QZ32A,JunyTony - Canciones Infantiles,2026-04-17 12:30:16 AM,26,27,811,20,0,4520000
vPLar8RucZs,Helping a Noob Change Everything 😢 #carparkingmultiplayer #shorts,UCmPg53jYM2EoyrMA0rutHJg,car parking pro,2026-04-17 12:31:10 AM,24,20,2981,,0,137000
suRw_O5omHI,Claudio Vivas en Conmebol #short #shortvideo #conmebol,UChfthkZ1qGnc02GkxPB0bbA,Genti Sports ,2026-04-17 01:15:02 AM,114,17,210,0,0,5550
0S96svKVVBc,Guru Gobind Singh Ji || #ytshorts #short,UCoaLLIg4Z5I_AL5fJK0duZg,ੴ ਆਦਿ_ਅੰਤ__ਗੁਰਬਾਣੀ,2026-04-17 01:15:00 AM,31,22,204,,0,6140
