videoId,title,channelId,channelTitle,publishedAt,duration_sec,viewCount,likeCount,commentCount,subscriberCount
5QiD4SDQqig,Kya tha yeh!😭 #Girliyapa,UCdxbhKxr8pyWTx1ExCSmJRw,Girliyapa,2026-04-10 11:36:25 AM,21,2870,66,1,5140000
qzeyfArfJu4,yowes ben tak lakoni nganti sak kuat-kuate ati #rosyntadewi #dalanliyane #short #shorts,UCdbkSFgnXsGIxdFtG4tdJXg,ROSYNTA DEWI OFFICIAL,2026-04-10 11:30:43 AM,58,666,6,0,1220
8SDiD73BemY,우연히 돈복사 버그를 발견한 남자,UCrkKaDi20-NRZVi65uIue3A,냐옹관,2026-04-10 11:44:52 AM,93,6767,126,2,86700
VqUtuoW4HsE,Allah Ke #video #short @Sonu numa♥️💖♥️💖🤲🤲🤲👍👍🕌🕋🕌,UC0xMJRI6QcWvJuY969tdGIw,Sonu Numa,2026-04-10 11:43:11 AM,50,255,9,0,1550
wfu99G7IDcI,yah hai Islam ki khubsurti #short #shahab ali,UC8hVsO1qNhOpPQrjp1z-J2w,Shabab Ali,2026-04-10 11:47:19 AM,11,1295,36,0,1510000
pzcK3gVMKGk,Kevin Pietersen on The Ranveer Show #shorts,UCPxMZIFE856tbTfdkdjzTSQ,BeerBiceps,2026-04-10 12:00:26 PM,29,1889,30,2,8250000
cpMT0gu8X-w,टुंग टुंग की खलबली 😂 free fire #freefire #short #shorts,UCvV24CgvoDIEuDoGv5fOTuA,Jaka Jx,2026-04-10 11:28:33 AM,41,479,,0,119000
iX4QqnC8Wm0,கௌரி | Gauri |  Episode - 683 | Kalaignar TV,UC0SIHdEcfg4BsM8X5tixwHQ,Kalaignar TV,2026-04-10 12:00:20 PM,65,732,12,0,5800000
1E-N9PjnQts,প্যারালাইসিস হলে আর চাপ নেই!😱,UCrakF8PjfiuuTObHKdjTtOQ,Mr. BonGrow Science,2026-04-10 12:16:00 PM,92,1890,196,14,1050000
wnQnWVQNH08,#viralvideo #freefire #gaming #shortvideo #short,UCaokSS_tD9ejlLo4OhiJSUA,Đł₦ĐØⱤł,2026-04-10 11:55:52 AM,27,542,17,0,3840
vmO7RpOBBSM,dil laga liya maine tumse pyar karke hindi #youtubeshorts #shortvideo #dance #short,UC5yUg1ES9-te1_8deoiqD7Q,Rekha devi blog ,2026-04-10 12:12:06 PM,29,237,4,0,1920
PE-YOMc8IAE,কখনোই তাদের কাছে যাবেন না | #short #mindset #lifelessons,UCCN0JELhc2iNyIcPTmwejAw,Success Care,2026-04-10 11:43:00 AM,6,965,,0,17200
MLCCAGkQZd0,【Gジェネエターナル】キュベレイの評価、実は割れている説,UC2jE2i2lC7ZJQl4tQoIiX7g,NottinTV,2026-04-10 11:43:02 AM,59,7525,64,22,354000
TFNNLsXeRqY,매수부터 매도까지 완벽했던 차트 고수의 분석,UC6ij59Gy_HnqO4pFu9A_zgQ,주식단테_20년차트고수,2026-04-10 11:30:32 AM,97,1194,27,1,575000
7JX5zOaGNBk,#jukilop,UC-wSjTZ1Spm6hsUh-I706uA,Mohak Buzz,2026-04-10 12:21:17 PM,37,14157,172,0,228000
BkU8VVe7HuA,pawan sahu का कुत्ता मर गया 😭😱😭 #pawansahu #motivation #viral #facts #trending #short #shorts,UCxlfFIb2G7OxdZzgd8iHp3A,RAM_REELS,2026-04-10 12:01:21 PM,29,2875,,1,61900
