videoId,title,channelId,channelTitle,publishedAt,duration_sec,categoryId,viewCount,likeCount,commentCount,subscriberCount
IAGrffyrnl8,Janam samjha karo😉 #shorts #dance #ytshorts,UC5E3ZPpc4z7_fUJMFKhrZ8Q,Chandan_007,2026-04-12 08:29:43 PM,20,24,7677,395,25,1690000
MGE1gBnFLPo,Today's Special Food #shorts #food #radhikascookhouse #aamkamurabba #aamkachunda,UCrorplVU4_eo1g035HPBElQ,Radhika's Cookhouse & Lifestyle,2026-04-12 08:43:17 PM,30,22,1239,8,0,3370
K6n72ArKmds,rupya or bangles sa mehndi trick #shortvideo #mehndi #viralshort #short #viral #shortsviral@kalpana,UC7tiOQs8M2ZD4SAB6Uc5d2g,kalpana art of mehndi 💕💕,2026-04-12 09:04:00 PM,60,22,1492,5,0,143000
z6RFJzXgtVA,ગીતાબેન રબારી વરાજા ની હારે ગરીબા રમ્યા #geetarabari #shortvideo #short,UC3X6JADoKDc19Sw4q1jR47Q,Gujarati Sangeet Sagar ,2026-04-12 08:47:49 PM,32,22,2758,21,0,9520
t2PxI2_jURM,bigboss marathi season6 #shortvideo #viralshort #short,UCsjqhD7pJpzTFcEUgYKyMpw,Truth & Inspiration (सत्य आणि प्रेरणा ),2026-04-12 08:37:32 PM,4,22,3118,10,0,137000
Ab2eBziwIgs,watch for end🤫🤣#freefire #gaming #freefirefunnyshorts #funny #comedy #short,UC4zVVG0J64vjUYj3pQL4P1g,Crazy Mobile Gaming,2026-04-12 09:09:44 PM,24,24,216,,0,556
BeVvadRz7TA,Naagin 7 New Promo | 13 April | Pinki Hone Wali Hai Kafi Jyada Emotional,UC2Qpbg88QduYdkkFuNnOb7g,Telly review hub,2026-04-12 08:29:28 PM,106,24,27580,613,1,426000
bu_DyioMTrY,dar ka mahaul 🥲 #shorts #frrefire #freefireshorts,UC0Zzpp5rJNSc2uIkU9x8tWQ,FIRE TWO GAMING,2026-04-12 08:30:49 PM,27,20,648,,0,1920
VIHy2smdpE8,SUNDAY FUNDAY 🤓 @esenya_miss  @YouTube  @MarinaEseniiaMiss  @JenniferHudsonShow #fyp #viral,UCTlXksoOgfGsz_073wpfIiA,Aleksandr MIkheev,2026-04-12 08:37:55 PM,16,22,4027,477,23,92600
va5WVIVchK4,Laxman aur helicopter toy 🚁🔥|| Indian family 😱|| #shorts #viral #funny #indian #papa #relatable,UCkjmg4poS2FgTTw1CHntbJg,Pal’s Bois ,2026-04-12 08:30:00 PM,31,23,1422,,8,445000
Yn3WSADuuME,Mahfil Mitra Di #dance #short #viralshort #reelsfb,UCfaF1KTZoemPpjHSjtG8V1w,Kavita Verma6162,2026-04-12 09:00:18 PM,14,24,825,17,2,164000
5S6K_iKyk4k,new majic trips YouTube video 2025#biggboss #funyvido #comedyfilms #short #vairalshort,UCNp2TK88LLB8kFiFhkY6S8g,Robin Hosen,2026-04-12 08:44:08 PM,21,24,802,13,0,55100
uIH4oeDQ5fA,Itna late Kyu karti ho sanaya ji🥹💔#sameerabbasi500 #sanaya #short,UCST4W-o7c_LEbUEUiH_TTJA,Sanaya 500,2026-04-12 08:59:38 PM,46,22,1664,148,1,39700
3k97xUVt1U8,Raja hamara se #yt bhojpuri #short,UCx2HJvjBBGsmivWOwtH6TUQ,Suman jha ,2026-04-12 08:41:57 PM,23,22,668,,0,1030
dHz1ioc_AyM,Charcoal Mask Aur Chaman 😂😂 #annuking #funny #shorts,UCOkk1jXyUNhzFsoSSl1mRHg,Annu  King,2026-04-12 09:00:47 PM,30,23,3175,40,1,90600
Vbt033lYJqo,Dogesh bhai ka gussa 😂 || #ktmrc #motovlog #shorts #funny #rider #youtube,UC82IgeZrsX-CxoLqb2mvXYg,AP CUSTOM MOTOVLOG,2026-04-12 08:31:10 PM,17,22,903,12,1,23400
aNXOBcSiGlc,Tom 🍓 Jerry (Soumya&Ammu)Real End Twist😍🎈 #shorts #viral #v5familyshow,UC5NE6lZOCLMerHHxH80dABg,V5 Family Show,2026-04-12 08:45:36 PM,60,24,218819,2964,20,17100000
ayc4OzrYupk,Cricket Vs Khaini Power #cricket #funny #trending #viralvideos #short #shorts #ytshorts,UCJDUGRRJYjxOzipP7iNgwfQ,R R Rock Star,2026-04-12 08:30:05 PM,31,23,800,9,0,6280
AbbjzESrwWc,Er war mit Michael Jackson auf der Bühne 😱 #knossi #michaeljackson #premiere,UCtckLvYloMnsey8E5qTwWwA,Knossi,2026-04-12 08:30:15 PM,36,24,1688,32,1,1630000
Rqr6Zja2SEc,"Kuruluş Orhan 22. Bölüm 2. Fragman | ""Her gün o kadını göreceğim, hem de seninle!""@KurulusOrhanatv​",UCUVZ7T_kwkxDOGFcDlFI-hg,atv,2026-04-12 08:29:20 PM,79,24,4430,988,79,13800000
_v0oc6H3_eQ,Wahl in Ungarn: Wird Orban abgewählt?,UC5NOEUbkLheQcaaRldYW5GA,tagesschau,2026-04-12 08:41:25 PM,108,25,3470,89,,2110000
PT6J8r2V6Wk,How Dangerous is In-flight Candy?,UCUeZBocfxALSUdOgNJB5ySA,Dr Ben Miles,2026-04-12 08:30:38 PM,83,28,13754,1642,91,2290000
CjfckNXDWhM,🥲🙏. #trending #shorts #now #trendingshorts,UChBGbj4SNbcwiky3uuWuY6g,Naeema zakariya vlog7,2026-04-12 08:49:39 PM,6,24,8095,27,0,205000
4T1vXlFmwNc,Dummy Baby 😳 #shorts,UCkD_ebvYbbQXmHlj3isR-Cw,TrendShoplink,2026-04-12 08:30:07 PM,20,28,3008,,0,48400
1FzjzHT1Gtg,Ich hab ein komisches Gefühl bei ihr... #fernbeziehung #longdistance #queer #wlw #bbyhbich,UCFJj-vnX7oVXiGmGkCz6ptA,Baby Hübich,2026-04-12 09:07:51 PM,82,10,5284,164,3,89700
unLhAFgqFI4,"""YOU CAME"" - Spiderman 3 | Headlights Kiddo and Alan Walker | #edit #shorts",UCzTE8r4YhLhCkHme-o3O_Lw,exdvansh,2026-04-12 09:06:02 PM,55,20,371,,0,3050
ISvhRW5NQ5I,Trump ordena que Marinha dos EUA bloqueie a navegação no Estreito de Hormuz após impasse com o Irã,UCVFbXI6Gu8U2f9Gjtxw4A-Q,UOL,2026-04-12 08:37:58 PM,73,25,4150,592,221,5410000
GJ3fQ5crSgU,Escalators game 🎯 #shorts #viral #youtubeshorts,UCvpdtC_EtOOb-XNpcHj5Nng,Gaming Finger,2026-04-12 09:00:54 PM,20,20,175,0,0,38200
rt2ddDX1mJk,Gaurav nai chori kyu ki wait for end #shorts #youtubeshorts,UC1zEgxzVGttlVtnac2SjQKQ,Mahak Kuldiya 100k,2026-04-12 09:05:59 PM,29,22,7787,,0,466000
SKRJ1Hwy3no,Can You FIX This with Stickers?! 🤔,UCDkmcNlFGPOKB1jRgoBhbeA,Sticki Rolls,2026-04-12 08:30:45 PM,67,22,15524,344,21,1580000
