videoId,title,channelId,channelTitle,publishedAt,duration_sec,viewCount,likeCount,commentCount,subscriberCount
fcF7t0TQuHg,#short video #br 👌,UCNtjbtEdT3eZz2oWWXtkhzA,PARMESH GAMER 10K,2026-04-11 02:06:11 AM,14,5,1,1,229
HP6lQx8SbwI,ey ich hab’s wirklich versucht ja….#short#laurafranziskaa,UCVOD8eFmzTOzV04VoQaRP7A,laurafranziskaa,2026-04-11 01:43:58 AM,77,3833,32,0,1470
hk33XwcEnVQ,"¡TERRIBLE EDITORIAL DE NAVARRO! ""El Ministerio de Salud acaba de decidir que no va a…",UCY4SCn6o-5Oc1SRk2J-i1Gg,Revolución Popular Noticias,2026-04-11 01:44:00 AM,48,1924,119,13,1020000
CymBL7_k4AE,The Evolution of City Boy 😎🔥 #youtubeshorts #shorts #short,UCPTL8lSuTCikDNbABmAO5aQ,UNWANTED MIND,2026-04-11 01:34:42 AM,26,596,12,1,6420
_FYz2-awhQk,Corolla é melhor que BMW 320i? #acf#tcar#viral,UCjPSvyN4CqDIAgD7E6u-MnQ,jaircortshow ,2026-04-11 02:00:06 AM,61,796,29,0,467
4GZDjGP3gds,ÚLTIMA HORA | Bloqueo total de Ormuz: Irán permite el paso a un único petrolero en todo el día,UCwd8Byi93KbnsYmCcKLExvQ,Negocios TV,2026-04-11 01:45:14 AM,91,5832,208,13,2700000
g28QXNCP_BM,Furiosissimo sdegno! #shorts #short,UCOxp7PyazYszg61tiO0dGCw,Emugifs,2026-04-11 02:01:40 AM,11,1062,9,1,9540
mvo6kOQfI4A,تظاهرة في لندن احتجاجا على استضافة مؤتمر ”الدفاع السنوي“ لشركات صناعية تبيع الأسلحة لإسرائيل,UC65i3Fyq91uiUkIS0i5GLNQ,العربي - أخبار ,2026-04-11 02:03:05 AM,67,1610,47,3,10700000
QJe6KpQUJ7s,ভূতের সাথে সম্পর্ক @GoroNews24#shorts #shortvideo #short,UCN93guy9HaEXaMc7LGoZsng,Goro News 24,2026-04-11 01:35:00 AM,9,2,1,0,1000
_nTu_f7ELvU,tumhara liye pyar se bnaya || shiv ❤️editor #shortsfeed,UCG1EvmefKJczBytAg1x1KGg,Shivbalak vloge,2026-04-11 01:54:31 AM,56,937,22,2,3510
