videoId,title,channelId,channelTitle,publishedAt,duration_sec,categoryId,viewCount,likeCount,commentCount,subscriberCount
zSK4gh44Ky8,Salma ko scientist kisne banaya 😂 #shorts,UCF1RRyjxsSb-rvJKVw5uCeA,Shantanu Ki Masti,2026-04-14 04:15:47 PM,28,24,7980,158,,14100000
JhXHnKTyNRY,#shorts - Best scene from Aditya 369 #Balakrishna #Mohini #TinnuAnand #AmrishPuri #etvcinema,UC3Dvbf4eEov7YORy5nEioTA,ETV Cinema,2026-04-14 04:15:02 PM,55,1,2102,36,0,4050000
NbnNgJZrkvU,IDOL ĐANG RANK GÌ? 😳 #shorts #freefire #ob53 #dcob53 #giaitriob53,UCLMTIpgYYWVP8LcBaotuxOw,Jeeker Chơi Game,2026-04-14 04:11:38 PM,61,20,11396,328,9,128000
sRjIXjvt8Uk,"Strait Of Hormuz Blockade: झुके ट्रंप, ईरान से फिर बातचीत  - TV9 | #shorts | #ytshorts",UCOutOIcn_oho8pyVN3Ng-Pg,TV9 Bharatvarsh,2026-04-14 04:10:03 PM,41,25,3041,27,1,26800000
AL_FutSIFkY,Hành trình của A Núi lên thành phố : Tập 15 #shorts  #haihuoc,UCMCCuYD88T9kSrQiNkJiiqw,Dứa ớii,2026-04-14 04:10:36 PM,61,24,2261,31,0,655
5tTY9fQoUHw,Samrat Chaudhary Bihar CM : इस्तीफे के बाद नीतीश का भावुक पोस्ट! #shorts #biharnewcm,UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,2026-04-14 04:09:34 PM,11,25,4280,11,1,50400000
VSWUmi_FG_g,Crazy hacks! #shorts,UCJJjBdTbd_ws3J3nLA8I_Sg,radmiru,2026-04-14 04:07:35 PM,28,23,11713,401,4,13900000
g70HStZyrHc,😱🥀Rista Diloaka Tode Na Toote ❤️#realstory #shorts #gopalsanura @Gopalsanura-Thakor,UCCziqGSGEPArOzkgcfMYcgA,Gopal Sanura,2026-04-14 04:07:41 PM,30,22,5613,43,0,2780000
ASR_RHv2B0o,ഇളയ കുഞ്ഞിന്റെ പിതൃത്വം തെളിയിക്കണം മറുപടിയുമായി രേണു #renusudhi #renusudhiinterview #shorts,UCwaZrlb5wEJXkt9ZzBSkweg,Rainbowmedia ,2026-04-14 04:07:08 PM,30,24,6010,39,1,197000
O1duhQOPPpo,Happy Tamil New Year and Vishu Ashamsakal 🥰🪷✨|| #momfluencer #shorts #cooking #tamilnewyear #vishu,UCS37htAr8OEF9_h_Ocd8JNA,Momfluencer,2026-04-14 04:06:20 PM,69,22,6653,427,4,499000
HUWkLmloBXo,Đang vẽ Giyuu thì đột nhiên toang luôn #giovamay #shorts,UCPh-AeQvKyPjro1AB1jtd4Q,Gió và Mây,2026-04-14 04:04:46 PM,28,26,2843,102,2,114000
axsFraqBjSM,সোন মার্গের পথে ❤️ #shorts #ytshorts #viral #viralvideo,UCkwyhC6YNtebt46WPOLgaRQ,Daily Dozz ,2026-04-14 04:06:45 PM,29,22,3132,96,5,438000
U76kD3Uj1Dg,yang ytta ajah🤫 | #shorts #roblox #forsaken,UCta3VZZa-zrrYzSYqTJCSww,RawbotYT,2026-04-14 04:05:38 PM,38,20,5827,407,32,46900
oMi5RxkpHso,Những đứa trẻ giải cứu con dê dưới giếng #trendingshorts #trendingvideo #shorts #shortsviral,UCg7WjuuH8yv5IthZV_mfWSQ,Tony reviews,2026-04-14 04:06:00 PM,30,24,18867,261,0,5040000
m6ctrcf-aAc,by:@nurrayni25real #shorts #asmr,UC7-pbMRQEet_arMszlQ_2Gw,SkeletonVeo,2026-04-14 04:06:22 PM,36,22,2770,197,2,891
swgnRJ69bTU,Hai mẹ con chơi trò gom ly #trendingshorts #trendingvideo #shorts #shortsviral #viralshorts,UComz7MVBwP85sE6A0KK31cg,Tony Kể Chuyện,2026-04-14 04:03:00 PM,41,24,21199,111,0,2610000
wOxneKrkylQ,00001 Badge Bundle Ke Liye 200K Diamonds?! 😱 - Garena Free Fire #shorts,UCX1DFAHJwcvgg6hXbTWvqfA,LORD IMMORTAL ,2026-04-14 04:00:55 PM,43,20,4699,,9,126000
WU1v98SCAAo,Elvish Yadav 😈 Na Current 🤣 #shorts #elvishyadav #status #short,UCCWcIpxt9wiZF81BNvtCyfg,Aman Vlogs 0.2,2026-04-14 04:00:31 PM,12,22,3106,,3,32600
H8u6qOX7mWY,She became reason for his smile #shorts #drama,UCckxU8Ml2tRIoJ9cCWCAWBg,Hidden Drama,2026-04-14 04:00:33 PM,30,10,2220,,5,2130
