videoId,title,channelId,channelTitle,publishedAt,duration_sec,categoryId,viewCount,likeCount,commentCount,subscriberCount
5gQO7WSwqB8,Ambedkar jayanti gone Romantic 😂 #tharkibestie #tamnnajaiswal #shorts #ambedkarjayanti #funny,UChzqX1fkBTo2rO6bbnR_C8Q,𝙏𝙖𝙢𝙣𝙣𝙖 𝙟𝙖𝙞𝙨𝙬𝙖𝙡,2026-04-13 01:30:51 PM,49,24,618,19,1,3100
INJTvxO3264,Tamilnadu Election 2026 - Public Opinion #shorts #vijay #tvk #dmk #mkstalin #admk #eps #bjp,UCM0tB7z-vkIw3xZiVv2SzIA,IM Talks,2026-04-13 01:37:23 PM,29,24,852,6,0,66300
OREEUPplM0A,UK refuses to back Trump blockade Strait of Hormuz as US confirms deadline,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,2026-04-13 01:28:46 PM,109,25,9591,212,300,6440000
FGJ6468ewss,Humans are like puppets 😱 | #shortvideo #viral #trending #shorts #shortsfeed #amazingfacts #facts,UCWkQ2vmWShLaTejdEkJLm_A,The Heron Explain ,2026-04-13 01:30:25 PM,32,24,23601,,1,276000
1iX977LxmmY,Balaa 🤪🤪 #shorts #funny #shortvideos #mrandmrskoranga,UC-1FTZ8pF6595wK7WVRWjgQ,Mr and Mrs Koranga ,2026-04-13 02:05:00 PM,13,24,32803,,0,10800000
VdHgRJlO2TM,Normal People VS Me - part 25 😂 #shorts,UCeYTfGpNCmVhlxjQxBDrGPA,Mr DegrEE,2026-04-13 01:32:51 PM,30,24,91881,1238,9,40400000
tI22QRRGDeQ,Did you notice? 😂 #kareenakapoorkhan #ibrahimalikhan #saifalikhan #shorts #mumbaiindians,UC_Brk29IljOCvLWAuMOQSZA,Sario Edits 🍁,2026-04-13 01:33:26 PM,9,24,61687,778,1,48100
BDodjMSfGM0,Doll Ka makeup💄 #shorts #shortvideo #makeup #viralshorts #shaheerjutt,UCapSXX92O3aPSnt0nUpwLRA,Shero bhai,2026-04-13 01:30:00 PM,36,24,9847,188,2,1370000
zt7s-oqUmC8,Downsizing for a Billionaire Life #azan #islamicvideo #islamicstutu #shortsfeed #quran #short,UCr7PhFnAEgvc151SkUsqb8g,H24Movies,2026-04-13 01:54:00 PM,46,27,1553,,0,72300
iHgFJbedbyo,Watermelon vali train 😍 #shorts #shortvideo #youtubeshorts,UCIH-7aFC5_MhvHOAv25M24g,𝗔𝗗𝗙 𝗔𝗗𝗔𝗥𝗦𝗛,2026-04-13 01:30:54 PM,16,20,4141,,0,3380000
