videoId,title,channelId,channelTitle,publishedAt,duration_sec,categoryId,viewCount,likeCount,commentCount,subscriberCount
zNpS4TZU4Dc,Aditya Roy Kapur Aashiqui 2 Best Dialogue #shorts,UCuAcVJgWBabsbJVipJ5DuVw,RAAZ EDITZ 2007,2026-04-17 10:18:36 AM,34,24,617,25,0,57800
to0ms_FP2n0,Miniature Chicken Biryani Recipe | Tiny Cooking Chicken Biryani at Home #shorts,UCUA_Xxq9kD48sVKPc-dfXfw,Me Sajib is back,2026-04-17 10:15:05 AM,49,24,2144,,0,388000
tgBmYeFub-Y,Ye Doremon Rahul Ke Sath Kya Kar Raha Hai 😱 #shorts #rahulchopde,UCtaL_KoBgUjY7reZgkOMLaw,Rahul chopde,2026-04-17 10:12:43 AM,48,24,4724,,0,1910000
5QPlfNLQTko,Reels nahi reality #shorts #station #public #prenk #sadi #funny #comedy #viral #trending,UCrLAoXyUy9XnNmK1rbQ2ZRg,Ganesh Bhaskar,2026-04-17 10:12:47 AM,12,23,931,10,1,1860000
Qpi-2xJYo8g,Tom_Jerry-Rea #shorts #viral,UCkBY6Wyck199aJhHzn2ckUQ,Miraz Shorts 10M,2026-04-17 10:12:02 AM,27,24,14504,,1,294000
NOY1bOczBvc,Jatin Sapru On Shreyas Iyer Catch Of The Season ❤️... #shorts #cricket,UCZ1rEU9BuFALA3wioUA9bqA,Pranoyeditzz,2026-04-17 10:12:30 AM,32,17,1657,35,0,20500
9QXI1p_mNkg,Avantika Flirting with Sourav 🫣 #shorts #souravjoshi #avantikajoshi #souravjoshivlogs #couplegoal,UCrvoFZebYPfh7TYi2FWRpsA,Zeher Edits,2026-04-17 10:09:05 AM,39,24,2594,18,3,182
MIjM4nbyFvI,Kitne sev loge? 😄🍎 #food #funny #shorts,UC0iOLDV2tISNlt5Agkx2rTg,Nitya Official,2026-04-17 10:06:46 AM,9,24,1480,32,1,44600
1mGu2N-Vu30,मेरा झंडा सबसे ऊँचा है 😲😳|| #azlansuperstar #shorts #ytshorts #indiaflag #hearttouching #emotional,UCbaxnxuh-_xSuD5OmMUXyuw,Azlan Superstar ,2026-04-17 10:07:59 AM,47,24,2351,44,0,2820
9ACkXytgQ8Q,Masturbation Is Normal Thing 💯💯 #shorts #saleemsir #facts #ytshorts,UCKHyti1kDktmuWSDFqERnvw,Desi Mic,2026-04-17 10:04:12 AM,38,22,204,,0,11000
0w53yv2oMDA,Reality of VIRAT KOHALI 😱 #shorts #facts #viratkohli @FactTechz @FactsMine @YTFactsOne,UCl-_ZL4bGPn1as956f20lUg,SSB FACTX ,2026-04-17 10:05:46 AM,38,27,280,15,0,7720
A7cFYbfkNXA,🤯😱 Chinki ko bhoot bnke daraya #shorts #funny #comedy #chinkikimasti #youtubeshorts,UCDRLB6oS3Qtow7b7jD9c3Og,Chinki Ki Masti,2026-04-17 10:02:41 AM,45,23,5317,40,0,23400
wsRp6JI4pHg,top 3 amazing smartwatch #smartwatches #tech #shorts,UC9ZxUzABWs2ylFrKh3-X5yA,GADGET GURU PM.1,2026-04-17 10:03:36 AM,41,22,414,,0,24800
PKkBlqMCvQg,Comedy video 😂😂  ft. pranit more #comedy #standupcomedy #pranitmore #shorts #viral #trendingshorts,UC5ZHUmUv7KtOy_s_idrcwrg,𝐒𝐇𝐀𝐇𝐈𝐃 𝐒𝐇𝐄𝐈𝐊𝐇 ~,2026-04-17 10:03:13 AM,47,24,645,,0,32900
Zzt0pn9_5Gk,রাজু ভুতুড়ে mask এর কামর খাওয়ার কারনে রাজুকে ভুতে ধরলো 😱 #shorts #youtubeshorts #viral #popular,UCG2RNeeCbLuqsYyaMl5TLjg,King Star,2026-04-17 10:00:30 AM,18,22,10557,,0,34300
29fkcXut89Y,একটি গ্ৰামের সব বাড়িতে নতুন স্যানিটেশন ব্যবস্থা তৈরি হয় #shorts,UC-_ph3N8DBLud_crfH6lYNg,Super Explain,2026-04-17 10:01:37 AM,48,10,10738,,0,142000
7ZRFhjFzryc,He does miracles 🙏❤️ #bible #amen #prayer #shorts #deus #jesus,UCwRkEgsv_9C_IqB1U1yAkFA,Suman Haldar,2026-04-17 10:01:28 AM,16,24,1569,9,0,16200
al8dSsH6Dd4,Free mein Gola #shorts #viralshorts #funnyshorts #trendingshorts,UCqalPqWH-S6GDwsDh8WhECQ,Rajesh Creation ,2026-04-17 10:00:00 AM,48,24,810,4,0,2320
qPz8S1og9-o,পরিবারের সবাই মিলে আশ্রমে কেন যাচ্ছি 😱❌ #shorts #minivlog,UCQUFnnOUU9l00-qLx5JI-mg,Jit Nishita Shorts,2026-04-17 10:01:18 AM,28,22,5762,227,1,1510000
3DBn0u6jpz0,Indian Army 🇮🇳 And Police 👮 Motivational Video #shorts #viral #army #police....,UCHk77oBCrMMtjPT54HSQSCQ,ARMY FILMS 🎬,2026-04-17 10:01:09 AM,22,1,937,,0,2180
FlCJzfgRFX4,Trending music song #shorts #dance #music #viralvideo #shortsdance #musicsong #,UCYYmd-b4-u-ULzEe9XB-o3Q,Asima Mondal,2026-04-17 10:00:07 AM,12,24,2997,114,0,187000
DXOe7adtruQ,Premium Branded Cotton Suits #cottonsuits #brandedsuits #premiumethnicwear #suits #shorts,UCgQhsmHY6wXjQIch5DapAqQ,Suumaya,2026-04-17 10:00:15 AM,55,26,276,10,3,69100
EDLLzxmTmOs,bjp का पालतू एंकर जो हमेसा कूट जाता है #viral #shorts #godimedia #politics,UCxIs-O-OebHjJSH6OEQOMLA,Godi Prime Time ,2026-04-17 10:00:01 AM,95,25,589,10,1,68400
OUQmFH_yTzQ,Halku Vs Amir Aadmi #viral #shorts #trending #ai #hulk,UCYqEQ4QWl4jEikVpZwAvWcQ,PB COMEDY SHOW ,2026-04-17 10:00:04 AM,44,23,303,5,0,4430
SbUp8Vmp8Gs,Maar Gayi Muze Teri Judai 💚#youtubeshorts #trending #shorts #viral #youtubeshorts,UCqJFv5IT9rLGRiBIYIXP4Mw,Hasan bhai4,2026-04-17 10:00:14 AM,29,24,1025,14,0,154000
7KBqN65UOQ4,Anaya Ka Friend Kaisa Laga Aap Sabko 😱🤣 #shorts #comedy #trending #viral #shortvideo,UCxKFhmK5Hxawbj14M5l4a7w,Hum 2 Hamare 2,2026-04-17 10:00:05 AM,5,24,3143,36,0,3280000
JAxq-JUfJvM,అక్కినేని మరణం గురించి వివరాలు | ANR Death Facts | Celebrities| #shorts Antha Public,UC3ImmRRathLh3a0c9VUJjaA,Antha Public,2026-04-17 10:00:00 AM,11,24,1199,3,0,80500
NOd0jMJr2HQ,liv morgan sad 😭 for Roman Reigns edit #shorts #wwe #romanreigns #livmorgan #sad #sadstatus,UC8BMOPKYmWkRGTeeg3ahr3w,OTC ERA ,2026-04-17 10:01:23 AM,21,24,2814,,0,61500
