videoId,title,channelId,channelTitle,publishedAt,duration_sec,categoryId,viewCount,likeCount,commentCount,subscriberCount
vuOYsBG0Gwo,Feel sad for hardik bhai 🥺 #shorts #rcbfans #mivspbks #abhijeetroasts,UCcArPT8yEz4Ak0n2bqDJmFg,Abhijeet Roasts,2026-04-16 11:20:45 PM,42,17,1169,76,12,53600
NA3ULQhU7d0,Census Data - History's Darkest Secret ? 🤯💀 | Kuldeep Singhaniaa #shorts,UCnYKRFQRndE3Wq1eLRQLfWw,Kuldeep Singhania Shorts,2026-04-16 11:10:27 PM,78,22,32401,2568,116,16200000
fXX9XHfC1RU,"""வெளியே வந்தாலே கூட்டம் கூடும் "" #shorts",UCmyKnNRH0wH-r8I-ceP-dsg,PuthiyathalaimuraiTV,2026-04-16 11:10:00 PM,38,25,4224,36,6,15400000
Pxb3UlWrvPA,Dinner Recipe 🔥😍😋 #indianfood #trending #recipe #food #shorts #viral #vikramsarkar #freefire #yt,UC7EsAISl9p9N8hZGNhi2aTQ,Jebina Home Kitchen ,2026-04-16 11:09:15 PM,33,22,324,,0,1200
2VxmkiDQ33c,Paa Liya Hein Pyaar Tera #dance #shorts,UClVuUH50zhaWAcPCfvsa3ug,Hanif 21,2026-04-16 11:07:30 PM,29,24,1018,27,2,836000
zAIah4N5CYQ,His Superpower is Actually a Curse #anime #shorts,UCpOMYD5rBTShV2PEQFiJiRQ,Dart tv in English,2026-04-16 11:08:43 PM,60,1,1246,44,3,18800
BljRPEAXcMA,تقارير: إيران لا تزال تحتفظ بأكثر من 1000 صاروخ باليستي #shorts,UC_RYp5EN_bMjUJaSwrLNiGA,pulse 24 عربي,2026-04-16 11:05:23 PM,6,1,11545,56,1,182000
Nu47PinvCcs,Black Hole #blackhole #funny #parkour #shorts #shortvideo #youtubeshorts #youtube,UCUTJLnGZdwFPLV7-BSxdUPg,𝘾𝙧𝙖𝙯𝙮𝙥𝙖𝙧𝙠𝙤𝙪𝙧 ,2026-04-16 11:06:29 PM,26,17,1428,15,0,54000
EsLEuEYfEU4,"Damián SUFRIÓ un PARO CARDÍACO, pero como es CHAD SOBREVIVIÓ #brawlstars #shorts",UCtmm5_5Frb3y_qdInKw_JzA,Cordy ,2026-04-16 11:06:52 PM,61,20,1698,306,28,85000
CAu58MPqjHc,This Men SAVE Marvel #shorts,UCB2-7cij4Vn_0LwARopLb4A,MG Sameer ,2026-04-16 11:02:53 PM,22,1,384,,0,5180
kozVhZtQ6F8,this scene is so hilarious 🤣 || #shorts #kaffara,UCQJqF-Co_aNKvljPHDEnlGA,tales_ creation _01,2026-04-16 11:03:18 PM,32,24,2850,10,0,1870
oWOsf3CLWfY,Ye Momo Khaliye To Khate Jaoge🤤 #shorts #cooking #food #foodie #chulha #fitness #minivlog #recipe,UCf6caSX3Hzuk4kgdXm9pP3Q,Bhawi Chandiwala,2026-04-16 11:04:14 PM,57,22,452,,1,13800
n68xPhCwmeE,Slither runner level 35 #shorts #trending #gaming #funny,UCI2yS0NGwB0Bwu7R8KKYYUg,Riyagaming951,2026-04-16 11:00:11 PM,36,20,502,3,0,242000
jhGGOmwKw1Y,SHREYAS IYER on fire 🔥#shreyasiyer #mivspbks #ipl2026 #shorts,UCuzCTIBv51B9EeBf12LLOGw,AB_shorts,2026-04-16 10:59:34 PM,23,22,27077,,43,338000
GT5ndtJcLhQ,Wait A Train Running Upside Down?! 🤯🎢#shorts #ytshorts,UCDER6xJ83mqTqoSQHuidP7w,Bitto Facts,2026-04-16 11:00:05 PM,43,22,592,,0,43700
cqzJFaJbp2Q,Yeh Abhi Baccha Hai 😳🥶 #shorts #shortvideo #youtubeshorts,UC9E6sBoMGiaS96ZUgCSyqTg,GlobalMasalaCuts,2026-04-16 10:58:06 PM,47,24,498,17,0,23
-zj_zR_kby0,"दोष भाग्य पर क्यों मढ़े, #MahabharatDoha​ #VedVyas​ #shorts #radhakrishna #radheradhe #shortsvideos",UCVDF0LlunMYnOGOe2rY05GQ,@spiritual3022🙏,2026-04-16 10:56:42 PM,29,27,3192,27,0,1460
RWSFudlLIWw,Khushi ko car chalana hai😂❤️🌸 #explore #familydrama #shorts,UCdU52laptkUZ1ujApRqYqig,Chintu contents,2026-04-16 10:54:18 PM,94,24,3452,669,6,33100
pb8XomeCKyA,Paintball Game कैसे खेला जाता हैं 😱 #shorts,UCF_1Bp5rzjEhIWQzZV5aCcA,Manish Sagtiker,2026-04-16 10:52:46 PM,28,27,563,,0,1790000
Eo8v8hy7kI0,"एस.डी. बर्मन (संगीत निर्देशक, गायक) का जीवन परिचय | #shorts #s.d.burman #musicdirectorsinger #news",UCzMXc4qOHu8UOx-qcBWcHFQ,Chintu,2026-04-16 10:50:01 PM,6,24,3357,6,0,131000
Njipw2RakJQ,Hell Wasn’t Ready for This Launch 💀 #shorts #gaming,UCMfHUc0hT9YUI1rH0ZuYPaA,Gamdict,2026-04-16 10:47:54 PM,56,20,587,19,1,91700
y6yaPBk24go,mother sad emotional stories hindi #shorts #maa #love,UCJK7pY7VTutv3X2Dnl8HCgA,NR FACT,2026-04-16 10:49:18 PM,47,24,455,,0,910
BqfSvfXdCPU,Hazrat ali 😍 #shorts,UCLMKzqw895Y-d5lncs_TxCA,Jaipur tv shorts,2026-04-16 10:48:40 PM,35,22,664,20,0,668
MkXlhE-kDy0,toilet cake decorating ideas #unitedstates #shortsfeed #cake #shorts #birthdaycake #ytshorts,UCLcDdJvHoPXjAP-BQIhqK0g,New Cake Design 099,2026-04-16 10:46:31 PM,44,22,738,9,0,148000
hK4Ky3Jybi4,Famous Celebrities And Their Last Words 💔🥺 #shorts #celebrity,UCc6c0dMdmnDPWIyBx9l0uFw,OnlyCelebTalks,2026-04-16 10:46:00 PM,26,22,558,15,0,770
1HbOO2s-1zc,Public fart moments that went wrong 💨🤣 #shorts #fails,UCVE29CDl4nBEJlGFVPGCcUg,Rafiicrazy,2026-04-16 10:47:47 PM,65,23,3108,39,2,4220
h9s02hRRLr8,মেকানিকের Attitude💀 কাজ🤡 #shorts #draggersubho #gt650,UCVhqw2upaK04DGTzCQxj-Kw,Dragger Subho Shorts,2026-04-16 10:45:03 PM,20,22,1405,49,1,29100
F4Yi12mVIAM,JFK Shared a Mistress With a Mob Boss #shorts,UCNAek4srjvZvjptytiH99bA,History Bypass,2026-04-16 10:43:53 PM,6,27,5681,127,2,863000
-wuKzkKj9pg,o Bhai yah 🥶😱😎kaise ho gaya #viral #shorts #youtubeshorts #reactionvideo,UCHodBhrbm0cgQDNYNC3HU1Q,Sonu Nishad SK,2026-04-16 10:42:06 PM,24,24,579,,0,168000
fUM1QBeJFlo,Chest workout 30 days results #shortvideo #fitnessjourney #shorts,UCQ8ROQLJ4MWjiRPB02-LNJQ,Brahma Mode,2026-04-16 10:40:23 PM,37,27,572,,0,13200
9d8daIxeWy4,#om#shree #narayan #vishanu #reels #love #subscribe #trending #shorts #video #song #music #like #god,UCbBO8zaOwrwQVjx9972be0Q,Asha Kumari,2026-04-16 10:39:36 PM,61,26,602,56,1,2140
cOQRjHiNt6I,jayakishoriji 💕love bageshwardham |#shorts #viral #love,UC74dQnoDqdxrYl994lzUXKg,"Spritualgyan • 1.5M views • 10 hours ago 
‎
‎
‎...",2026-04-16 10:39:02 PM,8,22,1391,17,0,3890
TvkyOQMBUOc,#motivation #shorts,UCbA87xff6Q9LjJoWzrWv9HA,Manu Yadav,2026-04-16 10:35:18 PM,45,22,699,24,,973
5Yt_x8sQtdg,every girl's silent fight to freedom 😱 #love #emotational #motivational #explore #shorts #foryou,UCd9x39G098Iw_Yd7eWYLPZQ,Digital Ashok,2026-04-16 10:35:10 PM,41,22,1310,20,0,15400
jMVS9VUyIS4,आवत होईये | Bhojpuri Nirgun Bhajan | #shorts,UCbSXtkLh7svKdNUmLjgvLvw,LADKATREND STUDIO,2026-04-16 10:36:13 PM,34,10,594,,0,2050
zcojU1VhAXk,Kya Hum Bhi Aise Hain | Maaldar Aur Zarooratmand #viral #shorts #yt #ytshorts,UCnlAXFp8GuswQFzrG39mxwQ,Halal Rozi(TKU),2026-04-16 10:36:53 PM,107,27,492,8,0,3630
CeOa0BBEtUs,তৃণমূল বাংলার সংস্কৃতি নষ্ট করেছে : যোগী আদিত্যনাথ #shorts,UCMDptRZipK-WZE5IjFcSOww,Jontar Kotha       ,2026-04-16 10:33:48 PM,40,25,467,,1,1200
PYtR0WO5jQw,Nasir Hussain – The Man Who Defined Bollywood Romance | Dv #shorts,UC0WF5L9bO48GQknnrx1QRMA,ANCIENT SENSE DV,2026-04-16 10:34:32 PM,14,27,767,,0,1330
JbHlR65Hb7E,Day 45: 3 Master Tricks | Instantly Command Respect 🔥 #shorts,UCc9Z0SgV6WxZZ0UrlOfFJ4A,Aurawin Talks,2026-04-16 10:35:00 PM,48,27,459,,0,10300
aZCXkS8qP5E,AAMRAS Thali In Mumbai #shorts,UCBD-5jNfAgTZzkQFL_0i6UA,Eat Around The City,2026-04-16 10:35:00 PM,55,22,6780,502,5,360000
_qXH6GVfawI,Final days at this price. Increase coming soon. #shorts,UCjGljaVTA-E7V5fIur3_kuw, Bright-41,2026-04-16 10:31:00 PM,51,22,1174,28,0,920
L-pNHlZ4aYg,കിട്ടണ്ടിയത് കിട്ടിയപ്പോൾ മതിയായി #shorts #comedy #funny,UCKHb-0z0iy0LZm2KdBtXBIg,Chempazhukka,2026-04-16 10:31:02 PM,59,24,4150,33,0,10100
ZZr7ta-DV1Y,COME WITH ME JELLYCAT STANLEY CUP HOME BARGAINS!?😱🥹 #shorts,UCBzmHBlcEjK4kL9cvAqpk8A,Beth Alexandra,2026-04-16 10:30:46 PM,69,26,2184,288,8,64600
sBuE_PK3MzQ,ebo noah predictions #shorts,UCkEHWSA8-A_VGXAD3VXZQCQ,Lord of Facts,2026-04-16 10:29:20 PM,42,27,710,,0,53200
FE-ZJHHLdoM,🤯 Niesamowity cud inżynierii! #shorts,UCti9fXm4yGbDQnMNvdp-tWA,CiekawoKamil,2026-04-16 10:29:14 PM,18,27,850,19,0,30700
HTzX1JDgK4g,হাসনাত আব্দল্লাহ পরো বাংলাদেশের এমপি mizanur rahman azhari #shorts #islamicstatus #trending #new,UCQlFLhY09uUc7w1SHiVqlVw,md masud alam official,2026-04-16 10:29:57 PM,22,22,3165,185,0,2230000
OZ4YNCEYSVQ,mi vs lsgmatch number 24🙏#trending #subscriber #short #viral #ytshorts,UC8eOmkraRAkvKgM73Wn8IDw,golu Yadav cricket ,2026-04-16 11:18:30 PM,34,23,1136,4,0,752
Uzo9yRbDzbs,🥰cute girl dance🥰#shorts#cute #trending #short #viralvideo,UCJafUn8Ia2CDpIrIt9l9ONg,AjVai studio Dhara,2026-04-16 11:16:15 PM,26,23,228,6,0,91
Mv8_W2KiJ_0,🙏मोर बनाइयों वृन्दावन को🌸youtube #trending #viral #short #radha#rani#mandir #video♥️,UC52S12Cihtsep9J06LP50lA,Barsana Vashi ,2026-04-16 11:15:04 PM,24,22,653,34,0,1820
kadvnAcDzis,शिकारी खुद ही शिकार हो गया 😱🤣 #short,UC8NwOW17bwAjVYLJ_tY9-2w,AkSingh-Official ,2026-04-16 11:12:57 PM,21,15,905,4,0,30800
kvTTpyFZAuU,New Status Mufti Salman azhari | Mufti Salman azhari status #viral  #short #muftisalmanazhari,UChmKfdTo2ckStrIz37cm9Rg,AZMI AGENCY,2026-04-16 11:10:00 PM,37,10,1011,52,0,2610
rg__TE1RUA8,Caesar makeup #trending #shorts #shortvideo #song #shorts #short #viralvideo #viral #video #makeup,UCCvbXgBzHDBKqe1G4FZmguw,YD Archu,2026-04-16 11:10:12 PM,23,26,2532,5,0,494000
wGAaXugrc1E,सेठ धनंजय सिंह के दर से किस-किस ने बदले बयान #short #viral #podcast #trending #politics,UC3S-gBf-uBI63W4C7zCxGzA,Ns viralpodcast ,2026-04-16 11:07:12 PM,28,22,401,5,0,4710
TF9ly51hpTE,डॉ बाबासाहब अम्बेडकर मिशन#motivation #ambekar #police #babasahab #viral #short,UCp7314nDf0YrkpXOu_wrc3w,people and blog,2026-04-16 11:09:10 PM,15,22,390,6,0,2430
udwdni8JlHY,radha kund #varsana #vrindavandham #radharanisharobar #radharani #radhakundseen #shyamkund #short,UCZswM9fRJL2XyrP7u-tZXnw,Neha Thakur,2026-04-16 11:08:04 PM,36,22,399,11,0,217
-i7bT-s4VJQ,சீமான் அவர்கள் பிரச்சாரத்தின் போது மேலே கழுகு வட்டமிட அனைவரும் வியந்து பார்த்த #short video,UC06HgNCsgYncNnMlF0_Z1MA,Adhiye Anthamஆதியேஅந்தம்,2026-04-16 11:07:56 PM,32,22,1016,13,0,13600
zw22Cqnk4aE,जो राम नाम गुन गाता है#trending song #short vairal meena singh,UCeUVHhbgLj-CmrZyA1vN6Hw,Meena Singh,2026-04-16 11:05:18 PM,25,22,270,21,0,859
1gExT_LBbAE,S26ULTRA vs S25ultra Reboot test #samsungs25ultra #s25ultra #tech #samsungs25series #unboxing #short,UCrwHdChkeK06ENkqEHulSxA,The Tech Haven,2026-04-16 11:01:09 PM,21,24,1475,,0,20500
