videoId,title,channelId,channelTitle,publishedAt,duration_sec,categoryId,viewCount,likeCount,commentCount,subscriberCount
6a6M76bzZGk,Secret recipe revealed 😱 | #shorts #facts #ytshorts #factsinhindi,UCGbVfgYw6ZCFVY5MfmfaVaw,Indo Stellar ,2026-04-15 10:15:00 PM,24,24,651,2,0,9590
rBphTx0wd60,"बिंदु जी का परिवार | Bindu Family | चंपकलाल झवेरी, अरुणा ईरानी #shorts",UCesI-MGrCyGHbk5do07AyVA,Family Wala SK ,2026-04-15 10:11:56 PM,18,24,9163,109,0,148000
5soGpgLk26k,Homer and Krusty are lookalike #simpsons #shorts,UCBSheG1pNicRvUYyuS1ctiQ,Sir Burrito,2026-04-15 10:10:42 PM,49,23,1161,21,0,72700
3UnKVVo2qTg,Who can make me mad? #shorts #shorts2026 #shortsfeed #funny #gadgets #memes #cooltools,UC7aMH0tsOvkzPQ4xBAq0e5Q,Ayan Reacts,2026-04-15 10:07:51 PM,35,22,520,6,0,70300
9Ps1wMpHkDo,These trucking firms are 4x more likely to crash #shorts,UCsN32BtMd0IoByjJRNF12cw,60 Minutes,2026-04-15 10:07:17 PM,63,25,994,31,0,4080000
NqcR6G5ieP4,XXXTentacion - Changes💔(8D AUDIO)🎧#freefire #shorts v50,UCO3FJhWr5LY4HHcrIF7sXkA,Heartless 15,2026-04-15 10:06:55 PM,56,20,400,19,0,11400
mhO5Affswlk,ஈரான் எடுத்த திடீர் முடிவு! #shorts,UCmyKnNRH0wH-r8I-ceP-dsg,PuthiyathalaimuraiTV,2026-04-15 10:06:01 PM,29,25,5631,65,0,15400000
edsBpax7KHw,प्रधानी चुनाव पर अखिलेश यादव का आया बयान #shorts #politcs #news #bjp #trending #ytshorts,UCTHN0pfs68VsmAEogXp0yKA,Romeedevofficial01,2026-04-15 10:04:46 PM,31,25,330,,0,1950
fl42khfQxL4,मुर्गे की बलि देते हुए पकड़ी गई तांत्रिक महिला! #shorts,UC3_1caBNAIPtuDgJcvDElaA,Define Movies,2026-04-15 10:04:04 PM,60,27,4108,,0,928000
Yfjy0_mg1lA,Nightmare Of Diego Simeone 🥶☠️ #shorts #ronaldo #messi #shortsvideo,UCKPh4z7XD10sa5paTkku2uw,@xa07_Editx,2026-04-15 10:03:35 PM,44,17,9384,947,42,2380000
