videoId,title,channelId,channelTitle,publishedAt,duration_sec,viewCount,likeCount,commentCount,subscriberCount
eVlAH3Zv2rU,মা র কাছে টাকা নাই😁 #short #cutebaby #funny #viralshort #please_subscribe_my_channel 🙏,UC-W3XCOU5iKORlSLPdXLqWA,hoichoi -a-barnali,2026-04-10 03:05:33 PM,8,1044,3,0,145000
5DGGjheikIU,Jaw breaker Candy #short #virals,UC2lYy_l4oXkxi_UyKu8SMwg,fact's UNQc,2026-04-10 03:05:44 PM,19,2825,,1,625000
d21gpcrgx4E,chakkunu aadhyamai kittiya kaineettam #shortsfeed #short #trendingshorts #youtubeshorts #shortvideo,UC9TPsuYxj--qiLHaiFHRIIg,@Ammuss_kochumol,2026-04-10 03:01:19 PM,59,7686,861,27,312000
42PjN-qlKZw,जादू ने बैलून दिया 🥰🤭 baby video 🥰 #shorts #trending #ytshorts #shortvideos,UCZjqOZN2u-Z8DLyd_7zbWhQ,Pihu Sharma official ,2026-04-10 02:53:34 PM,31,3515,60,0,57900
GP-8dJgVnr0,Saree Chamakdar #short #video #trending #viralvideo,UCOkDuqcyqQlCF7kVV7pixVg,Afrina dreams,2026-04-10 02:48:13 PM,28,1116,11,0,2770
colniUeZHKQ,#mumpuni #ustadzahmumpuni #mumpunihandayayekti #short,UCpr_y-STazuAZVzikEXiuMQ,LENSA HIKMAH,2026-04-10 02:30:57 PM,17,1165,5,0,105
YKKkkZm3bSw,"650 Balistik Pembawa Hulu Ledak Bom Tandan Iran Ditembakkan, Sebabkan Puluhan Orang Tewas di Israel",UCpoUHg5-OacDiR4BGB-AfFQ,Tribun Video,2026-04-10 02:35:06 PM,87,4126,204,62,695000
59KbRnjilQY,🎯🚀kabhi bhi sabse upar hone ka ghamand||#short #motivation #shortsfeed #reality #ytshorts #dreambig,UCYbQ9bSTuk3c6nHZ6JDIk0w,Success Motivation,2026-04-10 03:10:55 PM,39,2408,,1,82100
AUhVyLr_5BI,मां और बेटा दोनों😂#comedy #funnyshorts #desi comedy #funnyvideos #short,UCF7Ni30oiQv7Sdjhd9WNBXA,Ratnesh kdh,2026-04-10 02:30:16 PM,21,760,,0,1280
uXxH2wotsGs,നീ കണ്ടിട്ടില്ല #TurkeyCurry #ChettinadTurkey #EasterSpecial #TurkeyRecipe,UCakQcBIYmlb6hq0I4pXgHNA,Salt and Pepper Food Channel,2026-04-10 02:53:14 PM,56,1776,62,0,1480000
9s4lAEcTwyE,netizen mulai bikin kapal baru DERITA (Dedi Rieta penuh harta)‼️#shorts #short #shortvideo,UCuOn8z87YvKIeOzXa0wE10g,LAYLA MAZNUN,2026-04-10 03:02:02 PM,6,1508,4,0,14800
w8oMIImYQvs,PAMITAN PERPISAHAN SAMA SI TIA #shorts #short #roblox #robloxshorts #robloxedit #robloxmemes,UCTGzHIELlHQmPgzf1PvSakg,WAY ROBLOX,2026-04-10 03:00:37 PM,50,11285,188,10,144000
iSfCjpzs-Rg,ワンちゃんの水泳の授業,UCSjcLWc7bIHfkmmLZrzh6ng,動物の愉快な物語,2026-04-10 02:31:06 PM,24,4823,56,0,182000
2cqRoMa42RI,전북특별자치도(본경선) 개표 결과 발표 - 더불어민주당 중앙당선거관리위원회,UCoQD2xsqwzJA93PTIYERokg,델리민주 [더불어민주당],2026-04-10 02:52:53 PM,105,4534,265,25,469000
Ezm-oZahDuo,Easy গোল রুটি বানানোর টেকনিক 👍#Bong jolsha #ytshort #short video #shortsfeed #tiktok #trick #technic,UC99DC6hmVRMF1CjBDcHfaFQ,Bong Jolsha,2026-04-10 02:48:36 PM,27,3173,102,2,81900
aryfLXujWtM,"সবকিছু ফেলে দেবরের সাথে পালালো ভাবি,,#tranding #shorts #short #ytshorts",UCOboNqmaOOsDyzW3fSteO_g,তুফান টিভি বাংলা,2026-04-10 02:53:38 PM,30,2213,10,0,5940
U3ew-Vb8an0,স্বামী  স্ত্রীর মিষ্টি ভালোবাসা 🤣 #funny #comedy #short,UCH9oEG9NcQ2D3H3so9ORucw,Cartoon Master ,2026-04-10 02:50:46 PM,45,445,,2,837
CZb_tN2I74Y,GTA 5 :- SPIDER MAN HOUSE COMES GHOST 👻🎃 #short #gta #gta5,UC3Dvzbxkfi4GSHnE4zoGXIQ,NEOX MINDS,2026-04-10 02:39:47 PM,22,1806,,0,10000
Pd20RKFF2hM,스파이더맨이 슈트를 바꿔버린 진짜 이유,UCdp6cBoQXV_XWMDf4amCC8Q,마블링,2026-04-10 02:42:01 PM,33,14218,318,21,24100
ODUtZMlR9pA,Washington met en garde Téhéran sur son projet de péage dans le détroit d'Ormuz • FRANCE 24,UCCCPCZNChQdGa9EkATeye4g,FRANCE 24,2026-04-10 02:40:52 PM,108,2838,57,30,8500000
f6sSp1xePXU,Kanmani Anbudan | Episode Promo | 10th April 2026,UCvrhwpnp2DHYQ1CbXby9ypQ,Vijay Television,2026-04-10 02:30:00 PM,60,18478,445,2,28300000
H2f8vDw0DEE,പ്രധാനമന്ത്രിയേ വധിക്കാന്‍ പദ്ധതിയിട്ട മൂന്നുപേര്‍ അറസ്റ്റില്‍,UCwXrBBZnIh2ER4lal6WbAHw,Mathrubhumi News,2026-04-10 03:12:25 PM,115,3771,47,34,6210000
Y0HWNnrsWxc,🔥Enna da ethu💯husband vs wife alaparaigal #comedy #funny #short #shorts #ytshorts #fun #filpkart,UCcGRLppTJAPch-26ud0C84A,Réji Jóhn💜VLOGS,2026-04-10 03:00:29 PM,28,5239,70,0,2290000
REkjH3gsejo,जुगाड़ू मिस्त्री 😂 #motivationalvideo #motivation #inspiration #success #motivationalquotes #Short,UCJIdvhIuWYY07KKE-v4eAbQ,Aao Hase,2026-04-10 02:30:43 PM,17,7061,,1,102000
04Sqv1eCgpo,World's Heaviest Mug challenge!,UCZXPzomhCCmetqH9O6AIPKw,JASHVERSE,2026-04-10 03:00:00 PM,55,2288,,0,694000
7RIzD4wRhdg,Saregamapa Lil Champs Season5 | Raja Rani Round | 12 & 13 April | Sat - Sun 7PM | Promo | Zee Tamil.,UC_wIGmvdyAQLtl-U2nHV9rg,Zee Tamil,2026-04-10 02:34:34 PM,60,3834,138,5,17700000
sCOxiq0-9nc,スナックべに3D ティザーPV🍷 #ぶいすぽ  #スナックべに #八雲べに,UCjXBuHmWkieBApgBhDuJMMQ,八雲べに,2026-04-10 02:31:20 PM,20,7416,929,53,642000
F1P_tbKCudM,Salman Khan ने चाहत्याला फटकारलं 😳 Airport वर काय घडलं?,UCXnrReXAyWobsW8AlkpUDQg,politicsmaharashtrakolhapur,2026-04-10 02:38:54 PM,21,13123,46,0,318000
86-XQNU4msA,Mengapa Wanita Spiritual Tidak Mudah Jatuh Cinta ? #shortvideo #shorts #shortviral #short #nasehat,UCOrs-5fmUo_ZJ2K8ETXyNog,Umma Channel,2026-04-10 02:32:46 PM,40,760,49,9,17400
iWtOA8tsVyU,গ্রাম বাংলার দারুণ স্বাদের বোয়াল পাতুরি রেসিপি। #youtubeshorts #shorts #short,UCc0F_Tr2qBK_ZBPpPyloc7w,Kaniz's Cooking World,2026-04-10 02:31:09 PM,94,448,5,0,1550
_TqdEA8xb8g,暑假作业没写的惊悚瞬间 #抽象,UCAxFOSU3GIE87Mg28XFHMHQ,梁猛.,2026-04-10 02:30:52 PM,71,4577,204,2,72800
vRiQ0Ne0QcI,🚨 BOMBA BLOOMBERG: Fine guerra? Reazione mercati LIVE #trading #investing #russia #short #perte,UCf3JMSqNe5okqr1flAHm7yA,Renato Decarolis,2026-04-10 03:12:50 PM,62,202,4,1,12900
