videoId,title,channelId,channelTitle,publishedAt,duration_sec,viewCount,likeCount,commentCount,subscriberCount
Zv9sLC4ErSM,Veetra Earbuds EEG #shorts,UCcw6sOZLSgXCJO16d5CANFg,Rebecca Brand,2026-04-10 11:29:55 PM,100,4255,26,21,211000
HCYm_nAyb_0,Белая или Розовая?! #shorts #short,UC2AfrZfvUkPAfCPsJehxx6Q,Кэтис Мэтис ,2026-04-10 11:30:25 PM,14,789,15,0,65000
8Qq-XPSXUUA,UN MAL REGALO #comedia @alfredolarin,UCefYyMpKN4lDP9S1aImxUUg,Super Mario Brothers Revolutions,2026-04-10 11:30:06 PM,33,4332,173,2,1060000
eti1RD9g_V8,Magic ✨” short #shorts #short #shortsfeed #shortsvideo #shortsviral,UChfrqIIRgHV2GBqOP-J1VGw,Baaz Carrom,2026-04-10 11:56:04 PM,42,594,,0,63500
ZjQzNjIrn8s,ഇനി അവളില്ല..; ശ്രീനന്ദയുടെ മൃതദേഹം ലഭിച്ചത് ബാബ ബുദാൻ ഗിരിയുടെ താഴ്വാരത്തു നിന്ന്,UCwXrBBZnIh2ER4lal6WbAHw,Mathrubhumi News,2026-04-11 12:01:01 AM,102,1916,9,1,6210000
4MIqGqPFEOw,Le Jeu est CONTRE MOI ou QUOI !? 😂😱,UCrooFERULP1m5AAFUKbx8Lw,ENCORE UN AUTRE ALEXANGA,2026-04-10 11:34:27 PM,69,4567,218,5,301000
Wp1ussXLrYQ,the great song a Bollywood #music #youtube #short,UCiUToQ5rCOTn6IaqJhhXqlQ,Lmv music 15,2026-04-10 11:36:31 PM,40,558,18,0,223
NIFsBd43wJ8,protein shake 🤤🤝 milk #youtubeshorts #protein #short #food,UCQiJ4-QNLwPXNpt1iysq_UA,SAHINA vlog 786🥰🥰,2026-04-10 11:42:11 PM,29,387,5,0,531
plWnysd9C1M,Kamala Harris says she's 'thinking about' running for president in 2028,UC52X5wxOL_s5yw0dQk7NtgA,Associated Press,2026-04-10 11:35:31 PM,94,11721,422,776,4410000
LgM3rl2mXug,Jay maha Prabhu 🙏#shortvideo #shortsviral #shortsfeed #short #shorts,UCDv2CvkjMMtha7xEeAf2ddQ,mo jagannath,2026-04-11 12:00:30 AM,45,273,51,0,1180
