videoId,title,channelId,channelTitle,publishedAt,duration_sec,viewCount,likeCount,commentCount,subscriberCount
SGyPYyQf0jY,Surah Pilihan Mendatangkan Rezeki#yasin #muhammad #katabijak #motivasi#short,UCa6IQLWI0kvYBk1Ilfu4j1w,Aryuniz Official,2026-04-11 08:07:16 AM,16,453,8,3,17000
FWTEi4Y-D9k,Top Headlines Of The Today: Iran-US Ceasefire | Trump | Bengal Elections | Nitish Kumar | Hindi News,UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,2026-04-11 08:16:51 AM,89,1508,27,0,74900000
KMbMZrmONQY,PRESET ALIGHT👿💥 MOTION FF💥🎶I1 🤡PANDA🤡-DESIIGNER || Game OF Gamer 👀 VIRAL!,UCoQhZIavl8KLfQlp_lAgDSA,Game OF Gamer,2026-04-11 07:59:01 AM,79,969,48,2,129000
W--iOyoQAWM,जैसे गोरा के शिव। #short #youtube #trending #siyaram #prachi,UCaVtpePYigfzX_nMmqh89Qg,Prachi Yadav,2026-04-11 08:00:34 AM,28,351,36,0,386
belJlooXI-g,এদা মা তোকে ডাকছে 😁#funny #viralshort #comedy #youtube #viralvideo #bangla #short #viral #views,UC601hx4WhD-9FPwy9vIF-Fw,Kartick Reaction Video,2026-04-11 07:47:24 AM,41,408,5,0,2710
QTZil4PYXV0,नवरात्रे आऐ आएगी मेरी मां#नवरात्रेस्पेशल #short #viralvideo #ytviralvideo #ytshorts #dharmik haryanv,UC5gWy61fQ7K2SDlHAg3UW2g,धार्मिक हरियाणवी VLOGS ,2026-04-11 08:11:46 AM,9,1070,22,1,3650
pUjjkhR0Ia0,VINTUNNA OO PILLA PART 2 SONG #new #trendig #viral #short #video #ytstudieo,UCJi3weJHJ-qiTQoA5s8TeDA,mallesh Gunti ,2026-04-11 07:56:24 AM,33,549,13,0,945
7BlGIOsvbkY,🔥 Famosos celebran que Alejo se quedó en la casa 😳👏,UCXzFw8EGObkIJZs8jWANgGw,Farándula Total ,2026-04-11 07:55:02 AM,33,2343,88,3,7470
SPapeGnR0qQ,Ud Jaibu Ae Maina #short #viralvideo #emotional #song #bhojpuri #sadvideo,UC3TMiYUuJxyAyPVOtH9nThw,Dancer Manish Mehra ,2026-04-11 08:18:09 AM,30,208,5,1,23900
aARLXqiqaV8,Chamanthi | Ep - 402 | Preview | Apr 11 2026 | Zee Telugu,UCXOgAl4w-FQero1ERbGHpXQ,ZEE5,2026-04-11 07:57:44 AM,48,7237,160,0,19500000
